<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.01.12	14.260	14.340	13.980	14.240	26930	0	0
2013.01.13	14.240	14.320	13.950	14.120	44331	0	0
2013.01.14	14.190	14.350	14.110	14.300	22094	0	0
2013.01.15	14.350	14.480	13.990	14.250	51570	0	0
2013.01.16	14.300	14.730	14.210	14.730	45534	0	0
2013.01.17	14.730	15.700	14.630	15.500	65486	0	0
2013.01.18	15.500	15.990	15.410	15.710	56094	0	0
2013.01.19	15.710	15.780	15.250	15.620	34584	0	0
2013.01.20	15.620	15.900	15.510	15.710	25979	0	0
2013.01.21	15.700	16.980	15.630	16.800	61499	0	0
2013.01.22	16.800	17.590	16.650	17.260	60973	0	0
2013.01.23	17.260	17.590	16.800	17.500	49436	0	0
2013.01.24	17.530	19.190	15.610	16.900	172016	0	0
2013.01.25	16.900	17.800	15.390	17.400	98773	0	0
2013.01.26	17.450	17.880	16.540	17.880	63903	0	0
2013.01.27	17.880	18.000	17.210	17.820	129857	0	0
2013.01.28	17.820	18.880	17.750	18.720	73703	0	0
2013.01.29	18.720	19.800	18.700	19.520	107617	0	0
2013.01.30	19.530	19.800	19.150	19.710	105246	0	0
2013.01.31	19.700	21.430	19.510	20.410	104198	0	0
2013.02.01	20.510	21.130	20.300	20.500	58381	0	0
2013.02.02	20.500	20.500	18.000	19.630	126515	0	0
2013.02.03	19.700	20.900	19.420	20.590	98860	0	0
2013.02.04	20.600	21.050	19.850	20.430	90466	0	0
2013.02.05	20.430	20.790	20.200	20.600	134267	0	0
2013.02.06	20.660	21.330	20.600	21.180	153011	0	0
2013.02.07	21.110	22.220	20.770	22.150	202127	0	0
2013.02.08	22.150	22.770	22.000	22.660	50649	0	0
2013.02.09	22.660	23.990	22.570	23.650	58700	0	0
2013.02.10	23.800	24.110	22.670	23.970	234906	0	0
2013.02.11	23.970	24.680	23.650	24.650	125986	0	0
2013.02.12	24.650	25.830	24.300	25.170	101909	0	0
2013.02.13	25.190	26.300	24.190	24.200	144964	0	0
2013.02.14	24.200	27.600	21.720	27.220	160132	0	0
2013.02.15	27.250	27.510	26.100	27.100	104017	0	0
2013.02.16	27.100	27.500	26.810	27.220	113525	0	0
2013.02.17	27.220	27.400	25.000	26.820	103440	0	0
2013.02.18	26.900	27.150	26.360	26.950	82398	0	0
2013.02.19	26.950	29.650	26.800	29.420	174574	0	0
2013.02.20	29.420	29.870	28.990	29.650	112566	0	0
2013.02.21	29.650	29.980	29.320	29.750	108040	0	0
2013.02.22	29.750	31.300	29.670	30.250	108728	0	0
2013.02.23	30.250	30.700	28.000	29.800	198530	0	0
2013.02.24	29.800	30.400	29.200	29.890	52277	0	0
2013.02.25	29.890	30.400	29.550	30.400	76738	0	0
2013.02.26	30.400	31.700	30.120	31.100	68492	0	0
2013.02.27	31.200	31.650	30.790	30.900	88555	0	0
2013.02.28	31.260	34.520	30.900	33.380	126515	0	0
2013.03.01	33.380	34.900	32.920	34.500	51080	0	0
2013.03.02	34.500	34.810	33.150	34.250	231752	0	0
2013.03.03	34.250	34.500	33.800	34.500	162695	0	0
2013.03.04	34.500	36.700	34.190	36.150	107716	0	0
2013.03.05	36.150	40.640	36.150	40.330	85415	0	0
2013.03.06	40.230	49.100	40.140	41.020	126441	0	0
2013.03.07	41.020	45.500	33.300	42.000	157308	0	0
2013.03.08	42.000	44.500	41.020	44.180	119865	0	0
2013.03.09	44.180	46.990	43.410	46.850	92667	0	0
2013.03.10	46.610	47.950	45.470	46.000	41351	0	0
2013.03.11	46.000	48.470	45.540	48.400	131288	0	0
2013.03.12	48.400	48.400	36.650	44.290	183405	0	0
2013.03.13	44.330	47.300	43.750	46.920	56332	0	0
2013.03.14	46.920	47.990	46.050	47.170	141819	0	0
2013.03.15	47.030	47.450	46.400	46.950	74096	0	0
2013.03.16	46.860	47.360	46.270	47.000	338292	0	0
2013.03.17	47.000	47.740	46.800	47.400	243691	0	0
2013.03.18	47.400	52.880	47.120	51.600	167883	0	0
2013.03.19	51.600	62.000	50.000	59.140	142544	0	0
2013.03.20	59.140	66.000	57.700	64.490	120119	0	0
2013.03.21	64.490	74.900	63.100	70.850	143797	0	0
2013.03.22	70.840	73.750	65.000	69.860	76150	0	0
2013.03.23	70.280	70.500	52.350	64.350	150451	0	0
