<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.07.30	1.586	1.626	1.520	1.540	14671	0	0
2016.07.31	1.541	1.898	1.512	1.755	40678	0	0
2016.08.01	1.749	2.344	1.728	2.343	42446	0	0
2016.08.02	2.343	3.640	2.249	2.625	60195	0	0
2016.08.03	2.621	3.172	2.258	2.519	71283	0	0
2016.08.04	2.519	2.721	1.993	2.274	72511	0	0
2016.08.05	2.274	2.562	2.185	2.498	54562	0	0
2016.08.06	2.498	2.819	2.488	2.631	29427	0	0
2016.08.07	2.631	2.686	1.943	2.066	33923	0	0
2016.08.08	2.066	2.316	1.940	2.121	58036	0	0
2016.08.09	2.121	2.156	1.731	1.879	59983	0	0
2016.08.10	1.880	1.989	1.581	1.676	55038	0	0
2016.08.11	1.676	1.951	1.535	1.802	40268	0	0
2016.08.12	1.796	2.055	1.639	1.814	36076	0	0
2016.08.13	1.807	1.902	1.767	1.829	27845	0	0
2016.08.14	1.829	1.941	1.826	1.896	33733	0	0
2016.08.15	1.896	1.976	1.779	1.828	51226	0	0
2016.08.16	1.828	1.871	1.760	1.825	66706	0	0
2016.08.17	1.825	1.837	1.683	1.701	62304	0	0
2016.08.18	1.707	1.749	1.609	1.644	56615	0	0
2016.08.19	1.644	1.772	1.561	1.746	49498	0	0
2016.08.20	1.746	1.746	1.638	1.712	44578	0	0
2016.08.21	1.712	1.747	1.664	1.690	49248	0	0
2016.08.22	1.689	1.712	1.575	1.633	51347	0	0
2016.08.23	1.634	1.659	1.501	1.556	60620	0	0
2016.08.24	1.555	1.595	1.352	1.398	61668	0	0
2016.08.25	1.398	1.404	1.215	1.325	64460	0	0
2016.08.26	1.326	1.445	1.266	1.390	58665	0	0
2016.08.27	1.390	1.414	1.288	1.295	56104	0	0
2016.08.28	1.295	1.313	1.228	1.267	54035	0	0
2016.08.29	1.267	1.305	1.161	1.221	58053	0	0
2016.08.30	1.222	1.275	1.032	1.193	56924	0	0
2016.08.31	1.193	1.241	1.120	1.147	54431	0	0
2016.09.01	1.147	1.458	1.129	1.411	56297	0	0
2016.09.02	1.411	1.444	1.306	1.350	54188	0	0
2016.09.03	1.350	1.361	1.267	1.314	52033	0	0
2016.09.04	1.315	1.433	1.288	1.433	68920	0	0
2016.09.05	1.432	1.509	1.395	1.422	68363	0	0
2016.09.06	1.422	1.477	1.396	1.430	68973	0	0
2016.09.07	1.430	1.441	1.392	1.430	67625	0	0
2016.09.08	1.429	1.472	1.373	1.373	67853	0	0
2016.09.09	1.379	1.379	1.311	1.340	68480	0	0
2016.09.10	1.340	1.398	1.332	1.363	52151	0	0
2016.09.11	1.364	1.382	1.232	1.275	61931	0	0
2016.09.12	1.275	1.297	1.250	1.266	64043	0	0
2016.09.13	1.266	1.284	1.226	1.232	56256	0	0
2016.09.14	1.232	1.263	1.198	1.239	53217	0	0
2016.09.15	1.238	1.263	1.223	1.233	50704	0	0
2016.09.16	1.234	1.299	1.226	1.281	49957	0	0
2016.09.17	1.281	1.287	1.256	1.280	44672	0	0
2016.09.18	1.280	1.307	1.272	1.275	48770	0	0
2016.09.19	1.276	1.287	1.227	1.230	50455	0	0
2016.09.20	1.229	1.236	1.164	1.170	45001	0	0
2016.09.21	1.169	1.223	1.152	1.179	56191	0	0
2016.09.22	1.179	1.303	1.084	1.207	44389	0	0
