<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.02	8.67000	10.37000	8.67000	9.89000	23050	0	0
2016.05.03	9.87000	10.17000	9.29000	9.31000	20164	0	0
2016.05.04	9.31000	9.86000	9.20000	9.43000	16475	0	0
2016.05.05	9.43000	9.89000	9.28000	9.70000	14271	0	0
2016.05.06	9.70000	9.89000	8.97000	9.08000	15926	0	0
2016.05.07	9.08000	9.35000	9.05000	9.09000	11600	0	0
2016.05.08	9.09000	9.45000	8.85000	9.40000	13084	0	0
2016.05.09	9.32000	9.47000	9.10000	9.10000	15168	0	0
2016.05.10	9.10000	9.37000	9.10000	9.30000	7490	0	0
2016.05.11	9.30000	9.90000	9.28000	9.82000	7317	0	0
2016.05.12	9.82000	10.52000	9.67000	10.15000	18024	0	0
2016.05.13	10.15000	11.12000	9.84000	10.25000	17551	0	0
2016.05.14	10.25000	10.46000	9.75000	10.12000	16593	0	0
2016.05.15	10.12000	10.33000	9.87000	9.99000	12713	0	0
2016.05.16	9.90000	11.39000	9.87000	11.25000	14062	0	0
2016.05.17	11.20000	12.59000	11.00000	11.91000	15789	0	0
2016.05.18	11.91000	14.31000	11.91000	12.80000	18178	0	0
2016.05.19	12.80000	14.49000	12.70000	14.25000	18265	0	0
2016.05.20	14.25000	15.00000	13.45000	13.91000	16281	0	0
2016.05.21	13.91000	14.01000	13.08000	13.77000	15424	0	0
2016.05.22	13.77000	14.37000	13.72000	14.26000	11079	0	0
2016.05.23	14.27000	14.44000	13.68000	13.92000	10024	0	0
2016.05.24	13.92000	13.92000	12.01000	12.70000	16454	0	0
2016.05.25	12.70000	12.88000	11.85000	12.35000	9976	0	0
2016.05.26	12.35000	12.95000	12.04000	12.39000	7518	0	0
2016.05.27	12.39000	12.60000	10.30000	11.00000	20756	0	0
2016.05.28	11.00000	12.04000	10.16000	11.03000	23228	0	0
2016.05.29	11.03000	12.23000	10.88000	11.90000	17701	0	0
2016.05.30	11.91000	12.59000	11.72000	12.50000	7389	0	0
2016.05.31	12.50000	13.92000	12.42000	13.68000	6493	0	0
2016.06.01	13.68000	13.97000	13.10000	13.64000	12529	0	0
2016.06.02	13.62000	13.71000	13.34000	13.57000	4857	0	0
2016.06.03	13.57000	13.60000	12.86000	13.07000	7221	0	0
2016.06.04	13.07000	13.64000	13.00000	13.44000	8247	0	0
2016.06.05	13.44000	13.60000	13.20000	13.51000	5590	0	0
2016.06.06	13.51000	13.70000	13.40000	13.63000	4462	0	0
2016.06.07	13.63000	14.20000	13.60000	14.00000	3876	0	0
2016.06.08	14.00000	14.65000	14.00000	14.16000	4052	0	0
2016.06.09	14.16000	14.21000	14.00000	14.12000	2529	0	0
2016.06.10	14.12000	14.15000	13.50000	13.57000	7575	0	0
2016.06.11	13.53000	13.73000	13.40000	13.55000	7760	0	0
2016.06.12	13.55000	14.80000	13.42000	14.42000	7230	0	0
2016.06.13	14.42000	17.00000	14.39000	16.51000	7733	0	0
2016.06.14	16.51000	18.89000	16.40000	18.01000	8160	0	0
2016.06.15	18.00000	18.66000	16.96000	17.76000	5059	0	0
2016.06.16	17.76000	19.64000	17.43000	19.57000	6104	0	0
2016.06.17	19.57000	20.50000	12.84000	14.13000	16147	0	0
2016.06.18	14.13000	15.06000	9.60000	11.22000	22158	0	0
2016.06.19	11.22000	12.78000	10.16000	11.58000	14011	0	0
2016.06.20	11.57000	12.10000	10.16000	11.39000	15741	0	0
2016.06.21	11.39000	12.20000	10.93000	11.95000	12835	0	0
2016.06.22	11.90000	15.39000	11.89000	13.19000	13652	0	0
2016.06.23	13.19000	15.40000	12.01000	12.81000	18353	0	0
2016.06.24	12.80000	13.82000	12.75000	13.39000	11625	0	0
2016.06.25	13.40000	13.86000	13.40000	13.52000	6566	0	0
2016.06.26	13.52000	13.72000	13.09000	13.17000	6105	0	0
2016.06.27	13.17000	13.66000	13.10000	13.43000	4985	0	0
2016.06.28	13.43000	13.60000	11.20000	11.83000	7039	0	0
2016.06.29	11.83000	12.56000	11.36000	12.54000	7460	0	0
2016.06.30	12.54000	12.68000	11.90000	12.01000	8180	0	0
2016.07.01	12.01000	12.25000	11.32000	11.83000	12817	0	0
2016.07.02	11.82000	12.08000	11.65000	11.70000	6455	0	0
2016.07.03	11.71000	11.91000	11.47000	11.55000	7149	0	0
2016.07.04	11.54000	11.76000	11.06000	11.15000	6934	0	0
2016.07.05	11.12000	11.20000	7.85000	9.79000	11303	0	0
2016.07.06	9.79000	10.80000	9.78000	10.22000	9557	0	0
2016.07.07	10.23000	10.28000	9.57000	9.61000	8768	0	0
2016.07.08	9.61000	10.70000	9.45000	10.62000	8053	0	0
2016.07.09	10.59000	11.20000	10.41000	10.75000	8017	0	0
2016.07.10	10.75000	10.83000	10.50000	10.59000	3617	0	0
2016.07.11	10.59000	10.68000	10.01000	10.29000	5232	0	0
2016.07.12	10.28000	10.48000	10.21000	10.30000	4341	0	0
2016.07.13	10.30000	10.38000	10.24000	10.27000	3213	0	0
2016.07.14	10.27000	11.40000	10.27000	11.29000	7066	0	0
2016.07.15	11.29000	12.30000	11.08000	11.85000	5476	0	0
2016.07.16	11.85000	11.92000	11.41000	11.65000	4656	0	0
2016.07.17	11.59000	11.70000	10.75000	10.75000	6016	0	0
2016.07.18	10.75000	11.32000	10.75000	11.00000	4929	0	0
2016.07.19	11.00000	11.95000	10.77000	11.70000	4784	0	0
2016.07.20	11.71000	12.89000	11.39000	12.53000	6607	0	0
2016.07.21	12.45000	12.52000	11.81000	12.46000	4553	0	0
2016.07.22	12.46000	14.86000	12.30000	14.18000	9781	0	0
2016.07.23	14.18000	14.69000	13.87000	14.21000	5660	0	0
2016.07.24	14.21000	14.23000	12.20000	12.90000	8436	0	0
2016.07.25	12.90000	13.56000	12.55000	13.12000	7340	0	0
2016.07.26	13.12000	13.75000	11.80000	12.23000	13164	0	0
2016.07.27	12.23000	13.15000	11.61000	12.80000	10571	0	0
2016.07.28	12.80000	12.91000	12.30000	12.76000	7530	0	0
2016.07.29	12.76000	12.76000	12.35000	12.53000	4076	0	0
2016.07.30	12.53000	12.65000	12.42000	12.43000	3136	0	0
2016.07.31	12.43000	12.43000	11.47000	11.66000	7337	0	0
2016.08.01	11.66000	11.95000	11.29000	11.32000	8178	0	0
2016.08.02	11.32000	11.35000	8.58000	8.58000	14718	0	0
2016.08.03	8.57000	10.47000	7.50000	10.33000	22304	0	0
2016.08.04	10.33000	11.23000	10.00000	11.00000	13818	0	0
2016.08.05	11.03000	11.09000	10.62000	10.86000	11241	0	0
2016.08.06	10.86000	10.91000	10.20000	10.61000	8442	0	0
2016.08.07	10.61000	10.99000	10.61000	10.82000	14231	0	0
2016.08.08	10.82000	10.97000	10.79000	10.90000	18565	0	0
2016.08.09	10.90000	12.39000	10.90000	11.92000	26157	0	0
2016.08.10	11.92000	12.35000	11.82000	12.01000	25676	0	0
2016.08.11	12.01000	12.18000	11.50000	11.60000	25839	0	0
2016.08.12	11.60000	11.98000	11.51000	11.68000	27712	0	0
2016.08.13	11.68000	11.73000	11.41000	11.50000	21216	0	0
2016.08.14	11.51000	11.64000	11.02000	11.02000	27204	0	0
2016.08.15	11.02000	11.26000	10.88000	11.08000	29204	0	0
2016.08.16	11.08000	11.21000	10.88000	11.12000	22533	0	0
2016.08.17	11.12000	11.17000	10.70000	10.73000	21376	0	0
2016.08.18	10.73000	10.94000	10.64000	10.75000	22103	0	0
2016.08.19	10.75000	10.76000	10.60000	10.69000	19608	0	0
2016.08.20	10.69000	11.27000	10.65000	11.11000	21212	0	0
2016.08.21	11.11000	11.26000	10.91000	11.05000	21229	0	0
2016.08.22	11.05000	11.38000	11.02000	11.19000	21357	0	0
2016.08.23	11.19000	11.24000	10.87000	10.94000	27032	0	0
2016.08.24	10.94000	11.15000	10.94000	10.97000	27113	0	0
2016.08.25	10.97000	11.25000	10.96000	11.17000	19750	0	0
2016.08.26	11.17000	11.40000	11.16000	11.21000	14700	0	0
2016.08.27	11.21000	11.25000	11.14000	11.16000	18339	0	0
2016.08.28	11.16000	11.22000	10.92000	10.92000	17626	0	0
2016.08.29	10.92000	11.13000	10.75000	11.00000	23978	0	0
2016.08.30	11.00000	11.30000	10.92000	11.26000	23484	0	0
2016.08.31	11.26000	11.60000	11.18000	11.55000	14633	0	0
2016.09.01	11.55000	12.66000	11.50000	12.29000	25656	0	0
2016.09.02	12.28000	12.36000	11.81000	12.11000	20201	0	0
2016.09.03	12.11000	12.34000	11.55000	11.85000	6656	0	0
2016.09.04	11.85000	11.93000	11.48000	11.63000	6438	0	0
2016.09.05	11.63000	11.79000	11.53000	11.55000	3322	0	0
2016.09.06	11.55000	11.69000	11.35000	11.49000	2518	0	0
2016.09.07	11.50000	11.64000	11.45000	11.50000	3177	0	0
2016.09.08	11.45000	11.64000	11.21000	11.33000	5600	0	0
2016.09.09	11.33000	11.60000	10.98000	11.54000	3116	0	0
2016.09.10	11.55000	11.70000	11.49000	11.58000	3611	0	0
2016.09.11	11.57000	12.15000	11.43000	11.58000	6529	0	0
2016.09.12	11.57000	11.88000	11.52000	11.78000	3522	0	0
2016.09.13	11.79000	12.07000	11.76000	11.92000	6505	0	0
2016.09.14	11.92000	11.95000	11.80000	11.85000	4196	0	0
2016.09.15	11.84000	12.04000	11.80000	11.88000	5683	0	0
2016.09.16	11.88000	12.80000	11.88000	12.43000	6480	0	0
2016.09.17	12.43000	12.74000	12.41000	12.67000	4999	0	0
2016.09.18	12.67000	12.95000	12.05000	12.39000	6508	0	0
2016.09.19	12.39000	12.94000	11.00000	12.80000	5785	0	0
2016.09.20	12.79000	13.98000	12.75000	13.81000	7260	0	0
2016.09.21	13.81000	14.43000	12.98000	13.35000	9396	0	0
2016.09.22	13.35000	13.72000	12.35000	12.96000	8226	0	0
2016.09.23	12.96000	13.40000	12.96000	13.32000	4265	0	0
2016.09.24	13.32000	13.37000	12.69000	12.80000	4918	0	0
2016.09.25	12.80000	13.10000	12.75000	13.06000	3447	0	0
2016.09.26	13.06000	13.14000	12.75000	12.90000	2645	0	0
