<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.01.12	0.07000	0.07000	0.07000	0.07000	356	0	0
2013.01.13	0.07000	0.07000	0.07000	0.07000	321	0	0
2013.01.14	0.06000	0.06000	0.05000	0.06000	1148	0	0
2013.01.15	0.06000	0.06000	0.06000	0.06000	253	0	0
2013.01.16	0.06000	0.06000	0.06000	0.06000	301	0	0
2013.01.17	0.06000	0.06000	0.06000	0.06000	286	0	0
2013.01.18	0.06000	0.06000	0.06000	0.06000	366	0	0
2013.01.19	0.06000	0.06000	0.06000	0.06000	390	0	0
2013.01.20	0.06000	0.06000	0.06000	0.06000	281	0	0
2013.01.21	0.06000	0.06000	0.06000	0.06000	664	0	0
2013.01.22	0.06000	0.06000	0.06000	0.06000	305	0	0
2013.01.23	0.05000	0.07000	0.05000	0.06000	1214	0	0
2013.01.24	0.06000	0.06000	0.06000	0.06000	701	0	0
2013.01.25	0.06000	0.06000	0.06000	0.06000	326	0	0
2013.01.26	0.06000	0.06000	0.06000	0.06000	156	0	0
2013.01.27	0.06000	0.06000	0.06000	0.06000	137	0	0
2013.01.28	0.06000	0.06000	0.06000	0.06000	171	0	0
2013.01.29	0.06000	0.06000	0.06000	0.06000	303	0	0
2013.01.30	0.06000	0.06000	0.06000	0.06000	215	0	0
2013.01.31	0.06000	0.07000	0.06000	0.07000	1054	0	0
2013.02.01	0.07000	0.07000	0.07000	0.07000	158	0	0
2013.02.02	0.07000	0.07000	0.06000	0.07000	877	0	0
2013.02.03	0.07000	0.07000	0.07000	0.07000	198	0	0
2013.02.04	0.07000	0.07000	0.07000	0.07000	175	0	0
2013.02.05	0.07000	0.07000	0.07000	0.07000	188	0	0
2013.02.06	0.07000	0.07000	0.07000	0.07000	191	0	0
2013.02.07	0.07000	0.07000	0.07000	0.07000	274	0	0
2013.02.08	0.07000	0.07000	0.07000	0.07000	508	0	0
2013.02.09	0.08000	0.08000	0.08000	0.08000	477	0	0
2013.02.10	0.08000	0.08000	0.08000	0.08000	444	0	0
2013.02.11	0.08000	0.08000	0.08000	0.08000	700	0	0
2013.02.12	0.08000	0.08000	0.07000	0.07000	893	0	0
2013.02.13	0.07000	0.08000	0.07000	0.07000	604	0	0
2013.02.14	0.07000	0.07000	0.07000	0.07000	581	0	0
2013.02.15	0.07000	0.07000	0.07000	0.07000	986	0	0
2013.02.16	0.08000	0.08000	0.08000	0.08000	847	0	0
2013.02.17	0.07000	0.07000	0.07000	0.07000	353	0	0
2013.02.18	0.07000	0.07000	0.07000	0.07000	271	0	0
2013.02.19	0.07000	0.07000	0.07000	0.07000	603	0	0
2013.02.20	0.07000	0.07000	0.06000	0.06000	955	0	0
2013.02.21	0.07000	0.08000	0.07000	0.07000	446	0	0
2013.02.22	0.07000	0.07000	0.07000	0.07000	430	0	0
2013.02.23	0.07000	0.08000	0.07000	0.07000	729	0	0
2013.02.24	0.07000	0.07000	0.07000	0.07000	1408	0	0
2013.02.25	0.07000	0.07000	0.07000	0.07000	781	0	0
2013.02.26	0.07000	0.07000	0.07000	0.07000	748	0	0
2013.02.27	0.07000	0.07000	0.07000	0.07000	1384	0	0
2013.02.28	0.07000	0.08000	0.07000	0.07000	907	0	0
2013.03.01	0.07000	0.08000	0.07000	0.07000	1261	0	0
2013.03.02	0.08000	0.08000	0.08000	0.08000	648	0	0
2013.03.03	0.08000	0.11000	0.08000	0.11000	1171	0	0
2013.03.04	0.11000	0.65000	0.09000	0.13000	1417	0	0
2013.03.05	0.13000	0.21000	0.12000	0.18000	1656	0	0
2013.03.06	0.18000	0.22000	0.15000	0.18000	1332	0	0
2013.03.07	0.19000	0.22000	0.14000	0.21000	1764	0	0
2013.03.08	0.21000	0.22000	0.20000	0.21000	749	0	0
2013.03.09	0.21000	0.23000	0.21000	0.23000	712	0	0
2013.03.10	0.22000	0.35000	0.22000	0.33000	2080	0	0
2013.03.11	0.34000	0.45000	0.34000	0.44000	2952	0	0
2013.03.12	0.43000	0.65000	0.31000	0.65000	3865	0	0
2013.03.13	0.65000	0.75000	0.41000	0.66000	4918	0	0
2013.03.14	0.66000	0.70000	0.55000	0.63000	3140	0	0
2013.03.15	0.62000	0.66000	0.62000	0.64000	974	0	0
2013.03.16	0.65000	0.65000	0.58000	0.59000	1476	0	0
2013.03.17	0.59000	0.60000	0.40000	0.56000	4894	0	0
2013.03.18	0.57000	0.61000	0.52000	0.53000	1991	0	0
2013.03.19	0.52000	0.55000	0.44000	0.50000	3405	0	0
2013.03.20	0.50000	0.55000	0.47000	0.53000	2739	0	0
2013.03.21	0.54000	0.54000	0.38000	0.43000	2970	0	0
2013.03.22	0.44000	0.51000	0.35000	0.49000	3847	0	0
2013.03.23	0.49000	0.54000	0.46000	0.50000	3109	0	0
2013.03.24	0.50000	0.60000	0.50000	0.59000	2569	0	0
2013.03.25	0.59000	0.60000	0.51000	0.54000	2405	0	0
2013.03.26	0.54000	0.59000	0.54000	0.56000	2077	0	0
2013.03.27	0.56000	0.56000	0.54000	0.55000	1379	0	0
2013.03.28	0.55000	0.72000	0.55000	0.68000	6059	0	0
2013.03.29	0.67000	0.69000	0.61000	0.69000	2314	0	0
2013.03.30	0.69000	0.83000	0.68000	0.79000	4663	0	0
2013.03.31	0.80000	0.85000	0.78000	0.83000	1880	0	0
2013.04.01	0.83000	1.86000	0.82000	1.81000	11880	0	0
2013.04.02	1.81000	4.75000	1.52000	3.14000	20378	0	0
2013.04.03	3.14000	5.90000	2.67000	4.38000	21750	0	0
2013.04.04	4.38000	5.00000	3.65000	4.00000	11993	0	0
2013.04.05	4.00000	4.29000	2.78000	3.56000	14141	0	0
2013.04.06	3.51000	3.54000	1.50000	3.00000	18549	0	0
2013.04.07	3.00000	3.95000	2.70000	3.79000	15823	0	0
2013.04.08	3.79000	4.50000	3.73000	4.28000	14677	0	0
2013.04.09	4.28000	5.00000	4.18000	4.84000	14058	0	0
2013.04.10	4.84000	5.00000	2.25000	3.23000	25934	0	0
2013.04.11	3.23000	3.81000	1.01000	1.60000	27305	0	0
2013.04.12	1.60000	2.49000	1.11000	2.40000	32912	0	0
2013.04.13	2.40000	2.80000	1.92000	2.16000	21551	0	0
2013.04.14	2.16000	2.53000	2.15000	2.25000	9702	0	0
2013.04.15	2.24000	2.70000	2.08000	2.37000	17737	0	0
2013.04.16	2.37000	2.38000	1.30000	1.88000	27573	0	0
2013.04.17	1.88000	2.20000	1.78000	2.11000	17083	0	0
2013.04.18	2.11000	2.46000	2.01000	2.33000	12146	0	0
2013.04.19	2.33000	2.77000	2.24000	2.55000	21422	0	0
2013.04.20	2.55000	2.65000	2.39000	2.58000	7236	0	0
2013.04.21	2.58000	2.64000	2.20000	2.50000	14473	0	0
2013.04.22	2.50000	2.60000	2.49000	2.59000	5634	0	0
2013.04.23	2.59000	2.85000	2.57000	2.82000	8222	0	0
2013.04.24	2.80000	3.21000	2.79000	3.14000	15324	0	0
2013.04.25	3.14000	4.50000	3.11000	3.79000	23723	0	0
2013.04.26	3.80000	4.10000	3.30000	3.88000	10850	0	0
2013.04.27	3.91000	4.33000	3.81000	4.05000	13577	0	0
2013.04.28	4.05000	4.19000	3.99000	4.10000	6363	0	0
2013.04.29	4.10000	4.20000	3.86000	4.09000	13683	0	0
2013.04.30	4.10000	4.20000	4.04000	4.12000	7976	0	0
2013.05.01	4.11000	4.19000	3.20000	3.77000	15446	0	0
2013.05.02	3.77000	3.98000	3.07000	3.41000	17603	0	0
2013.05.03	3.41000	3.43000	2.43000	3.04000	17781	0	0
2013.05.04	3.04000	3.64000	2.94000	3.44000	12399	0	0
2013.05.05	3.44000	3.70000	3.38000	3.56000	7590	0	0
2013.05.06	3.55000	3.65000	3.00000	3.34000	9889	0	0
2013.05.07	3.31000	3.33000	2.94000	3.27000	7582	0	0
2013.05.08	3.28000	3.46000	3.21000	3.29000	4994	0	0
2013.05.09	3.29000	3.34000	3.20000	3.27000	5760	0	0
2013.05.10	3.27000	3.43000	3.25000	3.31000	5546	0	0
2013.05.11	3.33000	3.34000	3.21000	3.26000	3934	0	0
2013.05.12	3.27000	3.27000	3.12000	3.19000	4746	0	0
2013.05.13	3.19000	3.23000	3.11000	3.14000	3991	0	0
2013.05.14	3.15000	3.16000	2.52000	2.63000	15557	0	0
2013.05.15	2.63000	2.91000	2.50000	2.71000	13005	0	0
2013.05.16	2.71000	2.75000	2.53000	2.67000	6201	0	0
2013.05.17	2.66000	3.19000	2.63000	2.88000	10558	0	0
2013.05.18	2.88000	3.09000	2.87000	3.06000	6597	0	0
2013.05.19	3.06000	3.17000	2.95000	3.05000	5842	0	0
2013.05.20	3.05000	3.06000	2.94000	2.96000	3707	0	0
2013.05.21	2.98000	2.98000	2.85000	2.94000	4239	0	0
2013.05.22	2.92000	2.96000	2.90000	2.94000	3027	0	0
2013.05.23	2.94000	3.03000	2.93000	3.01000	4269	0	0
2013.05.24	3.01000	3.06000	2.98000	3.04000	7907	0	0
2013.05.25	3.04000	3.05000	3.00000	3.01000	3731	0	0
2013.05.26	3.01000	3.18000	3.00000	3.14000	8628	0	0
2013.05.27	3.14000	3.16000	2.95000	3.03000	7952	0	0
2013.05.28	3.02000	3.07000	2.96000	3.01000	6970	0	0
2013.05.29	3.01000	3.02000	2.97000	2.99000	4313	0	0
2013.05.30	2.98000	3.00000	2.85000	2.92000	4951	0	0
2013.05.31	2.94000	2.94000	2.63000	2.87000	9288	0	0
2013.06.01	2.89000	2.89000	2.77000	2.80000	3090	0	0
2013.06.02	2.79000	2.83000	2.61000	2.68000	7805	0	0
2013.06.03	2.70000	2.79000	2.63000	2.69000	5836	0	0
2013.06.04	2.69000	2.90000	2.69000	2.80000	8021	0	0
2013.06.05	2.80000	2.91000	2.80000	2.83000	4090	0	0
2013.06.06	2.83000	2.84000	2.76000	2.77000	2353	0	0
2013.06.07	2.79000	2.80000	2.61000	2.63000	5993	0	0
2013.06.08	2.63000	2.67000	2.55000	2.60000	3499	0	0
2013.06.09	2.60000	2.61000	2.06000	2.44000	10003	0	0
2013.06.10	2.44000	2.54000	2.26000	2.44000	3285	0	0
2013.06.11	2.45000	2.46000	2.22000	2.40000	4509	0	0
2013.06.12	2.40000	2.40000	2.28000	2.39000	2467	0	0
2013.06.13	2.37000	2.48000	2.25000	2.31000	4851	0	0
2013.06.14	2.31000	2.32000	2.10000	2.13000	4000	0	0
2013.06.15	2.14000	2.18000	2.02000	2.10000	3298	0	0
2013.06.16	2.10000	2.23000	2.05000	2.15000	3225	0	0
2013.06.17	2.16000	2.27000	2.11000	2.25000	3940	0	0
2013.06.18	2.26000	2.33000	2.17000	2.24000	5640	0	0
2013.06.19	2.24000	2.27000	2.19000	2.25000	3998	0	0
2013.06.20	2.24000	2.29000	2.19000	2.21000	2413	0	0
2013.06.21	2.21000	2.83000	2.15000	2.78000	15877	0	0
2013.06.22	2.79000	3.35000	2.64000	2.72000	25254	0	0
2013.06.23	2.72000	3.21000	2.72000	2.92000	12936	0	0
2013.06.24	2.92000	2.95000	2.40000	2.68000	14567	0	0
2013.06.25	2.68000	2.75000	2.60000	2.64000	11253	0	0
2013.06.26	2.66000	2.74000	2.64000	2.72000	3486	0	0
2013.06.27	2.72000	2.84000	2.67000	2.83000	8088	0	0
2013.06.28	2.83000	2.83000	2.49000	2.57000	20274	0	0
2013.06.29	2.56000	2.68000	2.52000	2.62000	15653	0	0
2013.06.30	2.62000	2.78000	2.60000	2.76000	8710	0	0
2013.07.01	2.76000	2.99000	2.53000	2.71000	24675	0	0
2013.07.02	2.73000	2.79000	2.63000	2.68000	12834	0	0
2013.07.03	2.69000	2.86000	2.62000	2.64000	16609	0	0
2013.07.04	2.64000	2.73000	2.55000	2.70000	26108	0	0
2013.07.05	2.69000	2.70000	2.24000	2.38000	11301	0	0
2013.07.06	2.38000	2.55000	2.27000	2.38000	5609	0	0
2013.07.07	2.37000	2.59000	2.31000	2.58000	4899	0	0
2013.07.08	2.58000	2.59000	2.39000	2.49000	8172	0	0
2013.07.09	2.49000	2.52000	2.36000	2.47000	5741	0	0
2013.07.10	2.46000	2.61000	2.44000	2.58000	5042	0	0
2013.07.11	2.58000	2.64000	2.51000	2.54000	6072	0	0
2013.07.12	2.55000	2.67000	2.53000	2.60000	6392	0	0
2013.07.13	2.60000	2.64000	2.51000	2.63000	3582	0	0
2013.07.14	2.63000	2.73000	2.60000	2.67000	3348	0	0
2013.07.15	2.68000	2.78000	2.67000	2.76000	4046	0	0
2013.07.16	2.75000	2.88000	2.74000	2.81000	6446	0	0
2013.07.17	2.81000	2.85000	2.76000	2.82000	3879	0	0
2013.07.18	2.82000	2.83000	2.60000	2.67000	5045	0	0
2013.07.19	2.68000	2.72000	2.62000	2.68000	1484	0	0
