<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.05.15	28.553	29.038	27.631	27.925	79542	0	0
2017.05.16	27.925	28.615	26.764	27.099	58226	0	0
2017.05.17	27.099	28.546	22.426	28.352	85125	0	0
2017.05.18	28.353	31.686	27.117	31.170	74081	0	0
2017.05.19	31.171	32.125	30.730	31.422	69658	0	0
2017.05.22	33.795	40.768	32.927	37.690	76677	0	0
2017.05.23	37.136	49.407	34.450	47.971	81038	0	0
2017.05.24	47.971	57.425	46.774	50.426	96559	0	0
2017.05.25	50.426	54.155	39.991	43.481	74534	0	0
2017.05.26	43.481	44.211	34.375	35.967	98821	0	0
2017.05.29	33.395	42.906	33.382	40.549	84204	0	0
2017.05.30	40.549	44.726	38.628	42.127	93806	0	0
2017.05.31	42.127	42.197	36.963	40.435	66423	0	0
2017.06.01	40.426	44.319	39.937	42.748	48483	0	0
2017.06.02	42.749	43.065	40.961	41.983	62083	0	0
2017.06.05	41.397	45.725	41.139	45.499	64791	0	0
2017.06.06	45.504	52.025	44.786	50.109	66285	0	0
2017.06.07	50.109	61.325	49.875	54.403	62715	0	0
2017.06.08	54.405	55.644	50.232	55.089	68621	0	0
2017.06.09	55.089	56.914	54.256	56.133	64956	0	0
2017.06.10	56.133	56.133	51.925	51.926	64302	0	0
2017.06.11	51.926	56.926	50.435	55.161	51567	0	0
2017.06.12	55.164	59.195	29.901	48.202	61153	0	0
2017.06.13	48.206	52.425	47.511	51.574	63398	0	0
2017.06.14	51.574	52.110	45.119	46.959	61859	0	0
2017.06.15	46.959	46.961	37.125	43.917	71271	0	0
2017.06.16	43.917	47.423	42.647	46.541	48420	0	0
2017.06.17	46.542	51.925	45.944	51.655	58744	0	0
2017.06.18	51.656	53.386	47.111	47.726	63998	0	0
2017.06.19	47.726	50.999	47.726	49.922	60369	0	0
2017.06.20	49.922	53.115	49.398	51.239	53107	0	0
2017.06.21	51.239	52.236	48.356	48.740	70918	0	0
2017.06.22	48.741	49.950	45.938	48.851	72173	0	0
2017.06.23	48.851	51.597	48.847	51.250	57603	0	0
2017.06.24	51.250	51.300	45.405	46.625	57756	0	0
2017.06.25	46.625	47.485	44.220	44.220	53375	0	0
2017.06.26	44.220	46.391	37.856	39.239	68364	0	0
2017.06.27	39.239	43.496	36.404	41.437	67760	0	0
2017.06.28	41.442	45.497	40.687	45.403	61212	0	0
2017.06.29	45.404	46.786	42.642	43.998	41052	0	0
2017.06.30	43.998	44.780	42.864	43.200	679	0	0
2017.07.01	43.210	43.500	38.100	38.157	1152	0	0
2017.07.02	38.157	41.800	38.100	40.926	1097	0	0
2017.07.03	40.926	43.386	40.332	42.738	1036	0	0
2017.07.04	42.740	45.006	42.559	43.440	1440	0	0
2017.07.05	43.440	46.100	43.440	44.680	1113	0	0
2017.07.06	45.005	49.102	44.600	48.759	1285	0	0
2017.07.07	48.759	50.080	43.150	44.200	1426	0	0
2017.07.08	44.200	44.840	39.400	43.944	1342	0	0
2017.07.09	44.400	46.323	43.217	45.212	1180	0	0
2017.07.10	45.256	45.403	39.600	40.112	1102	0	0
2017.07.11	40.339	40.339	33.700	35.855	1559	0	0
2017.07.12	36.100	40.089	33.900	39.287	1457	0	0
2017.07.13	39.430	40.001	36.176	37.128	1827	0	0
2017.07.14	36.918	37.709	33.700	33.857	1298	0	0
2017.07.15	33.717	35.218	30.716	31.772	1596	0	0
2017.07.16	31.772	32.300	28.218	28.300	1322	0	0
2017.07.17	28.300	34.380	28.300	34.100	1954	0	0
2017.07.18	34.001	37.240	32.600	36.090	1761	0	0
2017.07.19	36.017	37.100	33.600	34.153	1536	0	0
2017.07.20	34.153	40.570	33.600	39.322	2160	0	0
2017.07.21	39.417	41.300	38.246	39.170	2074	0	0
2017.07.22	39.321	43.700	38.850	43.670	1591	0	0
2017.07.23	43.673	44.700	40.640	42.610	1599	0	0
2017.07.24	42.700	45.300	41.100	45.010	2071	0	0
2017.07.25	45.010	45.600	37.600	37.720	2191	0	0
2017.07.26	37.720	46.250	37.720	44.965	2394	0	0
